ds,yhat,yhat_lower,yhat_upper
2026-09-21 19:04:25.654872,95.96236609380796,90.2501043379773,101.6511361109328
2026-09-22 19:04:25.654872,95.70612221079048,89.67035511933372,101.33216567931974
2026-09-23 19:04:25.654872,95.33582324347522,89.28199301730592,101.23861951941585
2026-09-24 19:04:25.654872,94.77360421351533,89.49876731410856,100.83963384931512
2026-09-25 19:04:25.654872,91.29749017138415,85.75719174431188,97.35651345978843
2026-09-26 19:04:25.654872,91.7905995963137,86.03266354045915,97.88614087641928
2026-09-27 19:04:25.654872,91.72175660767756,85.91442863688579,97.58086797862853
2026-09-28 19:04:25.654872,88.61033044767042,82.57519399111334,94.3764772832899
2026-09-29 19:04:25.654872,88.60330992717053,82.68036091149338,94.22320969675357
2026-09-30 19:04:25.654872,88.55459796086512,82.40321388888657,93.97585217461183
2026-10-01 19:04:25.654872,88.3776573860828,82.7656090417081,94.28869027601918
2026-10-02 19:04:25.654872,85.34019377416232,79.26209623692716,90.92687707049149
2026-10-03 19:04:25.654872,86.31364216328372,80.57297750297849,92.44528649263539
2026-10-04 19:04:25.654872,86.75409952579994,80.82640517288152,92.31181424129882
2026-10-05 19:04:25.654872,84.16751242991883,78.4542647382696,89.7890450705153
2026-10-06 19:04:25.654872,84.68711781357759,78.9446556531064,90.61277680079888
2026-10-07 19:04:25.654872,85.15311172597804,79.05385103518124,90.90825072936674
2026-10-08 19:04:25.654872,85.46566675865947,79.99557769693281,91.31195100603
2026-10-09 19:04:25.654872,82.87997349767906,76.93070404307625,88.73687029456849
2026-10-10 19:04:25.654872,84.25606293963216,78.67291724501553,90.44775165384203
2026-10-11 19:04:25.654872,85.04004237306636,79.67230614694465,91.19790027484748
2026-10-12 19:04:25.654872,82.72954581175428,76.96055405786686,88.50070983309506
2026-10-13 19:04:25.654872,83.45138969917812,77.52553923096072,89.7445210929509
2026-10-14 19:04:25.654872,84.04140291815834,78.24765442615438,90.23646026739705
2026-10-15 19:04:25.654872,84.39754754504807,78.7681284094218,90.00713117715763
2026-10-16 19:04:25.654872,81.77500305461814,76.62608224194564,87.85534206411619
2026-10-17 19:04:25.654872,83.03597001990855,77.13239556535547,88.86459138935352
2026-10-18 19:04:25.654872,83.6308266569004,77.79981617509509,89.57749035673206
2026-10-19 19:04:25.654872,81.06344186583067,75.13029649774765,87.19074197186185
2026-10-20 19:04:25.654872,81.46863969115164,75.7349516491103,87.08689367467139
